ionosphere.data,90.251,0.7894
ionosphere.data,93.674,0.755
ionosphere.data,93.521,0.758
ionosphere.data,90.953,0.7718
ionosphere.data,89.741,0.7633
ionosphere.data,94.042,0.7725
ionosphere.data,99.298,0.7694
ionosphere.data,87.193,0.7979
ionosphere.data,90.881,0.7806
ionosphere.data,91.798,0.7663
glass.data,20.631,0.5654
glass.data,20.325,0.6031
glass.data,20.044,0.6307
glass.data,20.088,0.5989
glass.data,20.248,0.6254
glass.data,19.855,0.6595
glass.data,19.81,0.607
glass.data,20.311,0.576
glass.data,20.451,0.6369
glass.data,20.242,0.5923
breastCancer.csv,280.816,0.9627
breastCancer.csv,187.621,0.9642
breastCancer.csv,209.053,0.9715
breastCancer.csv,254.798,0.9483
breastCancer.csv,235.316,0.9584
breastCancer.csv,254.192,0.9585
breastCancer.csv,218.243,0.9587
breastCancer.csv,214.456,0.9528
breastCancer.csv,252.991,0.9485
breastCancer.csv,233.835,0.9601
wine.data,13.968,0.9731
wine.data,13.891,0.9604
wine.data,13.88,0.9774
wine.data,13.943,0.9663
wine.data,13.707,0.9728
wine.data,14.045,0.949
wine.data,13.91,0.9264
wine.data,13.82,0.9614
wine.data,14.358,0.9533
wine.data,14.121,0.9712
bupa.data,29.766,0.6358
bupa.data,30.009,0.6233
bupa.data,30.209,0.6405
bupa.data,29.25,0.6272
bupa.data,30.129,0.5626
bupa.data,29.644,0.6133
bupa.data,29.57,0.6639
bupa.data,29.869,0.6202
bupa.data,30.123,0.6115
bupa.data,29.687,0.6262
sonar.all-data.txt,39.025,0.6929
sonar.all-data.txt,38.622,0.6698
sonar.all-data.txt,39.206,0.6837
sonar.all-data.txt,40.506,0.6526
sonar.all-data.txt,40.511,0.6776
sonar.all-data.txt,39.028,0.6873
sonar.all-data.txt,40.364,0.6049
sonar.all-data.txt,39.206,0.6505
sonar.all-data.txt,39.999,0.6793
sonar.all-data.txt,39.653,0.6573
diabetes.csv,145.537,0.7498
diabetes.csv,146.075,0.7458
diabetes.csv,146.084,0.7526
diabetes.csv,146.794,0.7425
diabetes.csv,145.673,0.7725
diabetes.csv,147.562,0.7466
diabetes.csv,144.927,0.7591
diabetes.csv,145.457,0.7449
diabetes.csv,146.085,0.7502
diabetes.csv,146.623,0.7563
heart.dat,27.27,0.8185
heart.dat,28.414,0.8074
heart.dat,28.021,0.837
heart.dat,27.633,0.8148
heart.dat,27.637,0.8222
heart.dat,27.421,0.8222
heart.dat,27.861,0.8074
heart.dat,28.688,0.8259
heart.dat,27.905,0.8259
heart.dat,27.922,0.8185
iris.data,8.796,0.9667
iris.data,8.762,0.92
iris.data,8.867,0.9333
iris.data,8.751,0.9533
iris.data,8.679,0.9533
iris.data,8.799,0.9533
iris.data,8.874,0.92
iris.data,8.755,0.94
iris.data,8.782,0.9467
iris.data,8.76,0.92
